Month,Day,Subject,Month Zero-Padded,Day Zero-Padded,Start Date,End Date,All Day
January,15,"Martin Luther King, Jr. Day",01,15,01/15/2024,01/15/2024,TRUE
January,16,First Day of Classes,01,16,01/16/2024,01/16/2024,TRUE
January,20,Saturday Classes Begin,01,20,01/20/2024,01/20/2024,TRUE
January,22,Last Day to Add/Drop a Class,01,22,01/22/2024,01/22/2024,TRUE
January,22,"Last Day for 100% Refund, Full or Partial Withdrawal",01,22,01/22/2024,01/22/2024,TRUE
January,23,W Grades Posted for Course Withdrawals,01,23,01/23/2024,01/23/2024,TRUE
January,29,"Last Day for 90% Refund, Full or Partial Withdrawal, No Refund for Partial 
Withdrawal after this date",01,29,01/29/2024,01/29/2024,TRUE
February,12,"Last Day for 50% Refund, Full Withdrawal",02,12,02/12/2024,02/12/2024,TRUE
March,4,"Last Day for 25% Refund, Full Withdrawal",03,04,03/04/2024,03/04/2024,TRUE
March,10,Spring Recess Begins - No Classes Scheduled - University Open,03,10,03/10/2024,03/10/2024,TRUE
March,16,Spring Recess Ends,03,16,03/16/2024,03/16/2024,TRUE
March,29,Good Friday - No Classes Scheduled - University Closed,03,29,03/29/2024,03/29/2024,TRUE
March,31,Easter Sunday - No Classes Scheduled - University Closed,03,31,03/31/2024,03/31/2024,TRUE
April,1,Last Day to Withdraw,04,01,04/01/2024,04/01/2024,TRUE
April,30,Friday Classes Meet,04,30,04/30/2024,04/30/2024,TRUE
April,30,Last Day of Classes,04,30,04/30/2024,04/30/2024,TRUE
May,1,Reading Day 1,05,01,05/01/2024,05/01/2024,TRUE
May,2,Reading Day 2,05,02,05/02/2024,05/02/2024,TRUE
May,3,Final Exams Begin,05,03,05/03/2024,05/03/2024,TRUE
May,9,Final Exams End,05,09,05/09/2024,05/09/2024,TRUE
May,11,Final Grades Due,05,11,05/11/2024,05/11/2024,TRUE
